id,move_prefix,prefix_ply_count,side_to_move,white_win_rate,draw_rate,black_win_rate,cohort_game_count
0,e4 e5 Nf3 Nf6 Nc3 d6 Bc4 Be6 Bxe6 fxe6,10,white,0.5333333333333333,0.06666666666666667,0.4,15
1,e4 e5 Nf3 Nc6 Bc4 Bc5 O-O Nf6 d4 exd4,10,white,0.6,0.0,0.4,15
2,d4 d5 Bf4 Nc6 Nc3 Nf6 Nb5 e5 dxe5 Nh5,10,white,0.47368421052631576,0.0,0.5263157894736842,19
3,e4 e5 Nf3 Nc6 d4 exd4 Nxd4 Nf6 Nxc6 bxc6 e5 Qe7 Qe2 Nd5,14,white,0.42857142857142855,0.21428571428571427,0.35714285714285715,14
4,e4 e5 Nf3 Nc6 Bb5 a6 Bxc6 dxc6 d4 Bg4,10,white,0.2857142857142857,0.07142857142857142,0.6428571428571429,14
5,d4 d5 c4 e6 Nc3 Nf6 Nf3 c6 Bg5 Be7,10,white,0.75,0.0,0.25,12
7,e4 e6 Nf3 d5 exd5 exd5 d4 Nf6 Nc3 Bd6,10,white,0.36619718309859156,0.07042253521126761,0.5633802816901409,71
8,e4 c6 Nf3 d5 exd5 cxd5 d4 Bg4 Nc3 e6,10,white,0.3333333333333333,0.08333333333333333,0.5833333333333334,12
9,e4 e5 Nf3 Nc6 Bb5 d6 h3 Nf6 O-O Be7,10,white,0.4166666666666667,0.0,0.5833333333333334,12
10,e4 e5 Nf3 Nc6 Bb5 Bc5 Bxc6 dxc6 O-O Bg4,10,white,0.25,0.0,0.75,16
11,d4 c5 d5 e6 c4 exd5 cxd5 d6 Nc3 Nf6 e4 Be7,12,white,0.45454545454545453,0.0,0.5454545454545454,33
12,e4 d5 exd5 Nf6 Nc3 Nxd5 Nxd5 Qxd5 Nf3 Bg4,10,white,0.5161290322580645,0.06451612903225806,0.41935483870967744,62
13,g3 e6 Bg2 d5 d3 Nf6 Bg5 c5 Bxf6 Qxf6,10,white,0.3076923076923077,0.0,0.6923076923076923,13
14,e4 c6 d4 d5 e5 Bf5 Bd3 Bxd3 Qxd3 e6 Nf3 c5,12,white,0.35714285714285715,0.07142857142857142,0.5714285714285714,14
15,e4 e5 Nf3 Nc6 Nc3 Bc5 Bb5 d6 Bxc6+ bxc6,10,white,0.5416666666666666,0.08333333333333333,0.375,24
17,e4 e5 Nf3 Nc6 Bc4 h6 d4 exd4 Nxd4 d6,10,white,0.375,0.0,0.625,16
18,d4 Nf6 c4 e6 Nc3 d5 e3 Be7 Nf3 O-O,10,white,0.5714285714285714,0.0,0.42857142857142855,21
19,e4 e5 Nf3 Nc6 Bb5 a6 Ba4 Nf6 O-O b5,10,white,0.4722222222222222,0.020833333333333332,0.5069444444444444,144
20,e4 e5 Bc4 Nf6 d3 Nc6 c3 d5 exd5 Nxd5,10,white,0.75,0.0,0.25,16
21,e4 c5 Nf3 Nc6 d4 cxd4 Nxd4 e5 Nb5 d6 c4 a6 Nb5a3 Nf6,14,white,0.6666666666666666,0.0,0.3333333333333333,18
22,d4 d5 Nf3 Nc6 g3 f6 Bg2 e5 dxe5 fxe5 O-O Nf6,12,white,0.38461538461538464,0.0,0.6153846153846154,13
23,e4 e5 Bc4 Nc6 c3 Nf6 d3 d5 exd5 Nxd5,10,white,0.36363636363636365,0.13636363636363635,0.5,22
25,e4 e5 Nf3 Nc6 Bb5 Bc5 O-O d6 c3 Bd7,10,white,0.6666666666666666,0.0,0.3333333333333333,18
26,e4 e5 Nf3 Nc6 c3 Nf6 d4 exd4 cxd4 Nxe4,10,white,0.38095238095238093,0.0,0.6190476190476191,21
27,e4 e5 Nf3 Nc6 Bb5 a6 Ba4 b5 Bb3 Nf6 O-O Be7 Re1 O-O,14,white,0.625,0.125,0.25,16
28,e4 c5 d4 cxd4 c3 dxc3 Bc4 cxb2 Bxb2 e6,10,white,0.6428571428571429,0.0,0.35714285714285715,14
29,e4 c5 Nf3 Nc6 d4 cxd4 Nxd4 g6 Nxc6 bxc6 Bd3 Bg7,12,white,0.5,0.0,0.5,12
30,e4 e5 Nf3 Nc6 Bb5 a6 Ba4 Bc5 O-O d6,10,white,0.5,0.0,0.5,12
32,d4 d5 c4 c6 Nc3 Nf6 Nf3 Bg4 e3 e6,10,white,0.6923076923076923,0.0,0.3076923076923077,13
33,e4 e5 Nf3 Nc6 Bb5 Nd4 Nxd4 exd4 d3 a6,10,white,0.5641025641025641,0.05128205128205128,0.38461538461538464,39
35,e4 d5 exd5 Qxd5 Nc3 Qe5+ Be2 Bg4 f3 Bh5 g4 Bg6,12,white,0.5384615384615384,0.07692307692307693,0.38461538461538464,13
36,d4 b6 c4 Bb7 d5 e6 e4 exd5 exd5 Qe7+,10,white,0.4166666666666667,0.0,0.5833333333333334,12
37,e4 e5 Nf3 Nc6 Bb5 d6 h3 Bd7 c3 Nf6 d3 Be7,12,white,0.25,0.08333333333333333,0.6666666666666666,12
38,e4 c5 Nf3 Nc6 d4 cxd4 Nxd4 e5 Nf3 d6,10,white,0.38461538461538464,0.07692307692307693,0.5384615384615384,13
39,e4 e5 Nf3 d6 d4 exd4 Nxd4 Nf6 Nc3 h6,10,white,0.625,0.0,0.375,16
40,e4 e5 Nf3 Nc6 Bc4 Nf6 Ng5 d5 exd5 Nxd5,10,white,0.594059405940594,0.033003300330033,0.37293729372937295,303
41,e4 e6 Nf3 d5 exd5 exd5 d4 Nf6 h3 c5,10,white,0.7096774193548387,0.06451612903225806,0.22580645161290322,31
42,e4 e5 Nf3 Nf6 Nxe5 d6 Nf3 Nxe4 Qe2 Qe7 d3 Nf6 Qxe7+ Bxe7 Be2 O-O,16,white,0.42857142857142855,0.07142857142857142,0.5,14
43,e4 e5 Nf3 Nc6 d4 exd4 Nxd4 Qf6 Nxc6 Qxc6,10,white,0.4444444444444444,0.037037037037037035,0.5185185185185185,27
44,e4 e5 Nf3 Nc6 Bc4 Nf6 d4 exd4 O-O Nxe4 Re1 d5 Bxd5 Qxd5,14,white,0.375,0.0,0.625,16
45,e4 e5 Nf3 d6 Nc3 c6 d4 exd4 Nxd4 Nf6,10,white,0.6428571428571429,0.0,0.35714285714285715,14
46,d4 c5 Nf3 cxd4 Nxd4 Nc6 Nxc6 bxc6 g3 g6,10,white,0.7692307692307693,0.15384615384615385,0.07692307692307693,13
48,e4 e5 Nf3 Nf6 Nc3 Nc6 d4 exd4 Nxd4 Bc5,10,white,0.4166666666666667,0.0,0.5833333333333334,12
49,d4 d5 Nc3 Nc6 Bf4 Nf6 Nb5 e5 dxe5 Ne4,10,white,0.7142857142857143,0.0,0.2857142857142857,14
50,e4 d5 exd5 Qxd5 Nc3 Qe5+ Qe2 Qxe2+ Bxe2 Nf6,10,white,0.4666666666666667,0.06666666666666667,0.4666666666666667,15
52,e4 e5 Nf3 Nc6 Bb5 d6 d4 Bd7 dxe5 Nxe5,10,white,0.48148148148148145,0.0,0.5185185185185185,27
54,e4 e5 Nf3 Nc6 Bb5 Nge7 O-O a6 Ba4 b5,10,white,0.7358490566037735,0.018867924528301886,0.24528301886792453,53
55,e4 e5 Nf3 Nc6 Bb5 Bc5 Bxc6 dxc6 Nxe5 Nf6,10,white,0.7857142857142857,0.0,0.21428571428571427,14
56,e4 c5 Nf3 Nc6 d4 cxd4 Nxd4 Nf6 Nc3 e6 Be2 Bb4,12,white,0.375,0.0,0.625,16
57,e4 e5 Nf3 Nc6 d4 exd4 Nxd4 Nxd4 Qxd4 c5 Qe5+ Qe7,12,white,0.6551724137931034,0.0,0.3448275862068966,29
58,e4 e5 Nf3 Nc6 Bc4 Nf6 d4 exd4 O-O Bc5,10,white,0.625,0.0625,0.3125,16
61,e4 e5 Nf3 Nc6 Bb5 Nf6 Bxc6 dxc6 Nxe5 Qd4 Nf3 Qxe4+,12,white,0.14285714285714285,0.0,0.8571428571428571,14
62,e4 e5 Nf3 Nc6 Bb5 a6 Bxc6 dxc6 Nxe5 Qd4 Nf3 Qxe4+ Qe2 Qxe2+,14,white,0.32432432432432434,0.08108108108108109,0.5945945945945946,74
63,e4 e5 Nf3 Nc6 Bb5 a6 Ba4 Nf6 O-O b5 Bb3 Bc5,12,white,0.4827586206896552,0.13793103448275862,0.3793103448275862,29
64,e4 e5 Nf3 d6 Bc4 h6 h3 Nf6 d3 Be7,10,white,0.5,0.0,0.5,16
67,e4 c5 Bc4 e6 d4 cxd4 Qxd4 Nc6 Qd1 Nf6,10,white,0.08333333333333333,0.0,0.9166666666666666,12
69,e4 e5 Nf3 Nc6 Bc4 h6 d4 exd4 Nxd4 Nf6 Nxc6 bxc6,12,white,0.5333333333333333,0.13333333333333333,0.3333333333333333,15
70,e4 e5 Nf3 d6 d4 Nc6 dxe5 dxe5 Qxd8+ Kxd8,10,white,0.6,0.06,0.34,50
71,e4 e5 Nf3 Nc6 Bb5 a6 Ba4 Nf6 O-O Nxe4 d4 b5 Bb3 d5 dxe5 Be6,16,white,0.5416666666666666,0.0,0.4583333333333333,24
72,e4 e5 Nf3 Nc6 d4 exd4 Nxd4 Nxd4 Qxd4 Nf6 Bg5 Be7,12,white,0.35294117647058826,0.0,0.6470588235294118,34
73,e4 c5 Nf3 Nc6 d4 cxd4 Nxd4 g6 Nxc6 bxc6 Qd4 Nf6 e5 Nd5,14,white,0.38461538461538464,0.07692307692307693,0.5384615384615384,13
74,e4 e5 Nf3 Qf6 Nc3 c6 d4 exd4 Nxd4 Bc5,10,white,0.47619047619047616,0.14285714285714285,0.38095238095238093,21
75,d4 Nf6 c4 g6 Nc3 d5 Nf3 Bg7 cxd5 Nxd5,10,white,0.6153846153846154,0.0,0.38461538461538464,13
76,e4 e5 Nf3 Nc6 Bc4 Nf6 O-O Bc5 c3 O-O,10,white,0.7058823529411765,0.0,0.29411764705882354,17
77,e4 e6 d4 d5 Nc3 Nf6 e5 Nfd7 f4 c5 Nf3 Nc6,12,white,0.5416666666666666,0.0,0.4583333333333333,24
80,e4 c5 Nf3 Nc6 d4 cxd4 c3 dxc3 Nxc3 g6,10,white,0.875,0.0,0.125,24
81,e4 d5 exd5 Qxd5 Nc3 Qa5 d3 c6 Bd2 Qc7,10,white,0.19047619047619047,0.0,0.8095238095238095,21
82,d4 e6 Nf3 d5 g3 Nf6 Bg2 Be7 O-O O-O,10,white,0.46153846153846156,0.07692307692307693,0.46153846153846156,13
83,e4 e5 Nf3 Nc6 Bb5 d6 Bxc6+ bxc6 d4 Ba6,10,white,0.5,0.0,0.5,12
84,e4 e5 f4 exf4 Nf3 d6 Bc4 Bg4 O-O Bxf3,10,white,0.9166666666666666,0.0,0.08333333333333333,12
86,e4 e6 d4 d5 Nc3 Bb4 e5 Ne7 a3 Bxc3+,10,white,0.2857142857142857,0.0,0.7142857142857143,14
87,e4 e5 Nf3 Nc6 Bc4 h6 d4 d6 dxe5 Nxe5 Nxe5 dxe5,12,white,0.6923076923076923,0.07692307692307693,0.23076923076923078,13
88,e4 e6 Nf3 d5 exd5 exd5 d4 c5 dxc5 Bxc5,10,white,0.3076923076923077,0.0,0.6923076923076923,13
91,e4 e5 Nf3 d6 Bc4 Bg4 h3 Bxf3 Qxf3 Nf6 d3 h6,12,white,0.6153846153846154,0.0,0.38461538461538464,13
92,e4 d5 exd5 Qxd5 Nc3 Qd8 d4 Nf6 Nf3 e6,10,white,0.5227272727272727,0.09090909090909091,0.38636363636363635,44
93,e4 d5 exd5 Qxd5 Nc3 Qd8 d4 e6 Nf3 Be7,10,white,0.5714285714285714,0.0,0.42857142857142855,14
94,e4 c5 Nf3 Nc6 d4 cxd4 Nxd4 d6 Bb5 Bd7,10,white,0.3333333333333333,0.18518518518518517,0.48148148148148145,27
95,d4 Nf6 c4 e6 Nf3 d5 e3 c6 Nbd2 Bd6,10,white,0.4375,0.1875,0.375,16
96,e4 e5 Nf3 Nc6 Bb5 a6 Bxc6 dxc6 d4 exd4 Qxd4 Qxd4,12,white,0.5757575757575758,0.09090909090909091,0.3333333333333333,33
97,e4 e5 Nf3 Nc6 Bb5 Nge7 c3 g6 O-O Bg7,10,white,0.3076923076923077,0.0,0.6923076923076923,13
99,d4 Nf6 Nf3 g6 g3 Bg7 Bg2 O-O O-O d5,10,white,0.5,0.0,0.5,12
100,e4 e5 Nf3 Nc6 c3 d6 d4 exd4 cxd4 Bg4,10,white,0.45,0.05,0.5,20
102,e4 Nc6 Nf3 e5 Bc4 Nf6 Ng5 d5 exd5 Na5,10,white,0.45161290322580644,0.0,0.5483870967741935,31
103,e4 e6 d4 d5 Nc3 Nf6 Bg5 Be7 e5 Nfd7 Bxe7 Qxe7,12,white,0.5135135135135135,0.08108108108108109,0.40540540540540543,37
105,e4 d5 exd5 Qxd5 Nc3 Qa5 d4 Nf6 Nf3 Bg4 h3 Bh5 g4 Bg6,14,white,0.5,0.08333333333333333,0.4166666666666667,12
106,e4 e5 Nf3 d6 Bc4 h6 d4 exd4 Qxd4 Nc6,10,white,0.2,0.0,0.8,15
107,e4 e5 Nf3 Nc6 Bc4 Nf6 d3 Be7 O-O O-O,10,white,0.5769230769230769,0.07692307692307693,0.34615384615384615,26
108,e4 e5 Nf3 d6 d4 exd4 Nxd4 c5 Nf3 Nf6,10,white,0.5833333333333334,0.0,0.4166666666666667,12
109,e4 c5 Nf3 d6 Nc3 Nf6 d4 cxd4 Nxd4 g6,10,white,0.4166666666666667,0.0,0.5833333333333334,12
110,e4 e5 Nf3 d6 d4 Nc6 dxe5 dxe5 Qxd8+ Nxd8,10,white,0.6521739130434783,0.043478260869565216,0.30434782608695654,23
112,e4 d5 exd5 Qxd5 Nc3 Qe5+ Be2 Bg4 f3 Bf5,10,white,0.4146341463414634,0.0,0.5853658536585366,41
114,e4 c5 Nf3 Nc6 d4 cxd4 Nxd4 e5 Nxc6 dxc6,10,white,0.3076923076923077,0.0,0.6923076923076923,13
